Player,Position,Appearances,Club ID,Player ID,Team Name,interceptions_per_90_overall,clearances_per_90_overall,aerial_duels_won_per_90_overall,duels_won_per_90_overall,conceded_per_90_overall,blocks_per_90_overall,clean_sheets_per_overall,pass_completion_rate_overall,pen_committed_per_90_overall,cards_per_90_overall,fouls_committed_per_90_overall,dribbled_past_per_90_overall,dispossesed_per_90_overall,goals_involved_per_90_overall,Team Possession,Composite_Score
Konstantinos Mavropanos,Not Fetched,19,153,41847,West Ham United,0.8445378151260503,0.535593220338983,0.7307692307692307,0.7580872011251757,-0.5741626794258374,0.5947712418300654,0.34782608695652173,0.904414871144909,-0.0,-0.48148148148148145,-0.3008474576271187,-0.39010989010989006,-0.0,0.0,47,7.379553412847868
James Tarkowski,Not Fetched,22,144,3964,Everton,0.4831932773109243,0.6372881355932203,0.8543956043956042,0.880450070323488,-0.3444976076555023,0.9084967320261438,0.7826086956521738,0.8613223489649343,-0.33333333333333337,-0.33333333333333326,-0.4872881355932203,-0.2637362637362637,-0.18471337579617833,0.0,40,7.372691951055128
Rúben Dias,Not Fetched,14,93,38080,Manchester City,0.4495798319327731,0.2858757062146892,0.3571428571428571,0.3333333333333333,-0.2727272727272727,0.5032679738562091,0.6086956521739131,0.9917617237008871,-0.0,-0.4259259259259259,-0.19491525423728817,-0.0824175824175824,-0.05095541401273885,0.0,61,7.365521811803327
Nikola Milenković,Not Fetched,22,211,40308,Nottingham Forest,0.29831932773109243,0.5163841807909605,0.7060439560439559,0.5555555555555556,-0.32057416267942584,0.4379084967320262,0.8913043478260869,0.8837135614702154,-0.0,-0.16666666666666663,-0.2033898305084746,-0.07692307692307693,-0.06369426751592357,0.358974358974359,40,7.271342200148836
Jacob Greaves,Not Fetched,13,220,590391,Ipswich Town,0.5588235294117647,0.6689265536723163,0.9395604395604394,0.8087201125175808,-0.645933014354067,0.7647058823529411,0.32608695652173914,0.9038867765103505,-0.0,-0.27777777777777773,-0.2457627118644068,-0.23076923076923073,-0.10828025477707007,0.20512820512820512,40,7.227172892480966
Sepp van den Berg,Not Fetched,19,218,145974,Brentford,0.3487394957983193,0.44180790960451977,0.7967032967032965,0.6990154711673698,-0.5741626794258374,0.888888888888889,0.2391304347826087,0.8906844106463877,-0.0,-0.11111111111111109,-0.3008474576271187,-0.2912087912087912,-0.19108280254777069,0.0,48,7.031360568888592
Matthijs de Ligt,Not Fetched,21,149,2838,Manchester United,0.6596638655462185,0.30847457627118646,0.5659340659340659,0.5021097046413502,-0.4688995215311005,0.5555555555555556,0.717391304347826,0.967258132657372,-0.8,-0.3148148148148148,-0.33474576271186446,-0.23076923076923073,-0.07643312101910828,0.15384615384615383,53,6.981419831430209
Trevoh Chalobah,Not Fetched,14,143,123517,Crystal Palace,0.7226890756302521,0.5468926553672316,0.5576923076923076,0.7355836849507736,-0.3875598086124402,0.5098039215686275,0.45652173913043476,0.8670257710181664,-0.0,-0.12962962962962962,-0.364406779661017,-0.5164835164835164,-0.35031847133757965,0.7435897435897435,44,6.867632222264937
Illia Zabarnyi,Not Fetched,23,148,638145,AFC Bournemouth,0.42016806722689076,0.5548022598870057,0.6126373626373626,0.5625879043600562,-0.32057416267942584,0.4771241830065359,0.5652173913043478,0.8651246303337556,-0.0,-0.24074074074074073,-0.19067796610169493,-0.24725274725274723,-0.089171974522293,0.0,46,6.854044199890047
Levi Colwill,Not Fetched,21,152,590346,Chelsea,0.4831932773109243,0.3728813559322034,0.5631868131868131,0.5414908579465542,-0.3444976076555023,0.5882352941176471,0.41304347826086957,0.9515209125475285,-0.33333333333333337,-0.537037037037037,-0.4872881355932203,-0.0824175824175824,-0.19108280254777069,0.1282051282051282,58,6.828404990231272
Lewis Dunk,Not Fetched,18,209,7270,Brighton & Hove Albion,0.3025210084033613,0.3536723163841808,0.574175824175824,0.44866385372714485,-0.444976076555024,0.5947712418300654,0.6086956521739131,0.9670468948035487,-0.0,-0.44444444444444436,-0.1398305084745763,-0.10989010989010989,-0.12738853503184713,0.0,53,6.764913184161207
Riccardo Calafiori,Not Fetched,12,59,606281,Arsenal,0.4285714285714286,0.28700564971751413,0.6978021978021978,1.0,-0.3732057416267942,0.49673202614379086,0.5434782608695652,0.9145542881284325,-0.0,-0.6666666666666665,-0.7542372881355933,-0.41758241758241754,-0.24203821656050956,0.9230769230769229,55,6.667466239721815
Dara O'Shea,Not Fetched,20,220,123543,Ipswich Town,0.5168067226890757,0.6045197740112994,0.9999999999999999,0.759493670886076,-0.6746411483253589,0.8758169934640524,0.21739130434782608,0.8305872412336289,-0.0,-0.4629629629629629,-0.1822033898305085,-0.11538461538461536,-0.1019108280254777,0.0,40,6.63008545191741
Caleb Okoli,Not Fetched,13,108,195510,Leicester City,0.5210084033613446,0.7005649717514124,0.4642857142857142,0.680731364275668,-0.660287081339713,0.8823529411764707,0.17391304347826086,0.9151880016899028,-0.0,-0.4259259259259259,-0.38135593220338987,-0.18681318681318682,-0.0,0.0,45,6.611069633163298
Cristian Romero,Not Fetched,12,92,28648,Tottenham Hotspur,0.3487394957983193,0.29152542372881357,0.6840659340659341,0.8045007032348804,-0.3732057416267942,0.18300653594771243,0.3695652173913043,0.9536332910857626,-0.0,-0.16666666666666663,-0.27542372881355937,-0.3571428571428571,-0.178343949044586,0.23076923076923073,58,6.494059624724789
Marc Guehi,Not Fetched,22,143,120100,Crystal Palace,0.319327731092437,0.5276836158192091,0.6675824175824175,0.7229254571026722,-0.430622009569378,0.5882352941176471,0.5869565217391304,0.8873046049852132,-0.0,-0.4259259259259259,-0.1822033898305085,-0.23626373626373623,-0.3057324840764331,0.46153846153846145,44,6.4849106154182765
Taylor Harwood-Bellis,Not Fetched,22,146,139515,Southampton,0.49579831932773105,0.4734463276836159,0.5192307692307692,0.510548523206751,-0.660287081339713,1.0,0.19565217391304346,0.9393747359526826,-0.0,-0.6296296296296297,-0.5,-0.1703296703296703,-0.16560509554140126,0.1282051282051282,52,6.4325402212011955
William Saliba,Not Fetched,21,59,184012,Arsenal,0.3025210084033613,0.33333333333333337,0.39835164835164827,0.589310829817159,-0.12918660287081338,0.23529411764705882,0.8260869565217391,0.995352767215885,-0.33333333333333337,-0.37037037037037035,-0.37288135593220345,-0.14285714285714285,-0.1337579617834395,0.2564102564102564,55,6.315496870861995
Fabian Schär,Not Fetched,19,157,464679,Newcastle United,0.5252100840336135,0.3898305084745763,0.4093406593406593,0.4767932489451477,-0.2583732057416268,0.5032679738562091,0.8043478260869565,0.8935361216730037,-0.0,-0.7222222222222222,-0.37711864406779666,-0.3296703296703296,-0.07643312101910828,0.28205128205128205,51,6.297921518107141
Maxence Lacroix,Not Fetched,20,143,186147,Crystal Palace,0.7941176470588235,0.5830508474576271,0.4038461538461538,0.6511954992967651,-0.3971291866028709,0.24183006535947713,0.6521739130434783,0.8733629066328684,-0.0,-0.37037037037037035,-0.47033898305084754,-0.2912087912087912,-0.07006369426751592,0.2564102564102564,44,6.240291352366144
Felipe Rodrigues,Not Fetched,16,211,203535,Nottingham Forest,0.4663865546218488,1.0,0.12087912087912087,0.49789029535864976,-0.0,0.43137254901960786,0.9565217391304348,0.7160963244613433,-0.0,-0.38888888888888884,-0.47033898305084754,-0.48351648351648346,-0.0,0.0,40,6.204400330991046
Jarrad Branthwaite,Not Fetched,15,144,199521,Everton,0.41596638655462187,0.5525423728813559,0.36538461538461536,0.5358649789029536,-0.20095693779904308,0.3790849673202614,0.8695652173913043,0.8787494719053653,-0.0,-0.4259259259259259,-0.07203389830508476,-0.13736263736263735,-0.1592356687898089,0.0,40,6.181823537303424
Craig Dawson,Not Fetched,15,223,3988,Wolverhampton Wanderers,0.3907563025210084,0.535593220338983,0.510989010989011,0.4964838255977496,-0.7799043062200957,0.6666666666666667,0.43478260869565216,0.9170891423743134,-0.0,-0.3518518518518518,-0.23728813559322037,-0.04945054945054944,-0.12101910828025478,0.0,47,6.011070186596274
Santiago Bueno,Not Fetched,16,223,86486,Wolverhampton Wanderers,0.3949579831932773,0.3355932203389831,0.4972527472527472,0.530239099859353,-0.6411483253588517,0.803921568627451,0.41304347826086957,0.9225813265737218,-0.0,-0.0,-0.614406779661017,-0.12087912087912087,-0.089171974522293,0.0,47,5.998935098887753
Jean-Clair Todibo,Not Fetched,15,153,183888,West Ham United,0.3949579831932773,0.5310734463276836,0.4313186813186813,0.6610407876230661,-0.7990430622009569,0.5490196078431372,0.5869565217391304,0.9419095901985636,-0.0,-0.0,-0.2669491525423729,-0.1703296703296703,-0.40127388535031844,0.0,47,5.995820410005992
Antonee Robinson,Not Fetched,23,162,39191,Fulham,0.8403361344537815,0.3446327683615819,0.32417582417582413,0.7988748241912799,-0.3827751196172249,0.11764705882352941,0.3695652173913043,0.8475918884664131,-0.0,-0.3148148148148148,-0.3855932203389831,-0.6483516483516483,-0.375796178343949,1.0,53,5.742838381332134
Issa Diop,Not Fetched,16,162,17398,Fulham,0.1764705882352941,0.47683615819209035,0.37087912087912084,0.4866385372714486,-0.3253588516746412,0.3856209150326797,0.41304347826086957,0.9205745669623995,-0.0,-0.3148148148148148,-0.25,-0.13736263736263735,-0.05095541401273885,0.0,53,5.631980053439086
Wesley Fofana,Not Fetched,12,152,162404,Chelsea,0.3697478991596639,0.4497175141242938,0.5357142857142856,0.6976090014064698,-0.26315789473684215,0.5228758169934641,0.5434782608695652,0.9522602450359102,-0.0,-0.9814814814814814,-0.711864406779661,-0.39010989010989006,-0.17197452229299362,0.0,58,5.486958128494795
Matt Doherty,Not Fetched,16,223,7418,Wolverhampton Wanderers,0.5756302521008404,0.34124293785310733,0.6538461538461537,0.670886075949367,-0.8851674641148327,0.4771241830065359,0.41304347826086957,0.8917405999155048,-0.0,-0.4629629629629629,-0.38983050847457634,-0.20329670329670327,-0.17197452229299362,0.641025641025641,47,5.445698658858394
Lisandro Martínez,Not Fetched,19,149,29261,Manchester United,0.7394957983193278,0.327683615819209,0.20329670329670327,0.45569620253164556,-0.39234449760765555,0.30065359477124187,0.6956521739130435,0.9510984368398816,-0.0,-0.7037037037037036,-0.4830508474576271,-0.40659340659340654,-0.07006369426751592,0.41025641025641024,53,5.3390192611916385
Calvin Ughelumba,Not Fetched,22,162,120375,Fulham,0.2605042016806723,0.37175141242937854,0.32692307692307687,0.509142053445851,-0.36363636363636365,0.40522875816993464,0.3913043478260869,0.9528939585973805,-0.0,-0.4259259259259259,-0.2627118644067797,-0.10439560439560439,-0.15286624203821655,0.0,53,5.140982992273635
Wout Faes,Not Fetched,20,108,14833,Leicester City,0.31092436974789917,0.6338983050847458,0.49175824175824173,0.5288326300984528,-0.6315789473684211,0.803921568627451,0.10869565217391304,0.9167722855935783,-0.0,-0.3148148148148148,-0.3135593220338983,-0.5054945054945055,-0.11464968152866241,0.15384615384615383,45,5.003260513584842
Ezri Konsa,Not Fetched,21,158,8185,Aston Villa,0.3067226890756303,0.35480225988700564,0.21428571428571427,0.4922644163150492,-0.4401913875598087,0.16993464052287582,0.30434782608695654,0.9707435572454582,-0.0,-0.0,-0.04237288135593221,-0.11538461538461536,-0.19745222929936304,0.1282051282051282,50,4.995064697328582
Lewis Hall,Not Fetched,23,157,685867,Newcastle United,0.3235294117647059,0.2508474576271187,0.3681318681318681,0.6244725738396625,-0.22009569377990432,0.47058823529411764,0.7608695652173912,0.9013519222644697,-0.0,-0.27777777777777773,-0.15254237288135594,-0.7637362637362636,-0.5605095541401274,0.3846153846153846,51,4.982241316909153
Manuel Akanji,Not Fetched,19,93,35453,Manchester City,0.14705882352941177,0.2926553672316384,0.32417582417582413,0.35583684950773553,-0.3301435406698565,0.3071895424836601,0.5652173913043478,0.9999999999999999,-0.0,-0.3148148148148148,-0.37288135593220345,-0.13186813186813184,-0.18471337579617833,0.0,61,4.85449093190985
Timothy Castagne,Not Fetched,13,162,21538,Fulham,0.5252100840336135,0.4248587570621469,0.6208791208791208,0.7580872011251757,-0.49282296650717705,0.08496732026143791,0.32608695652173914,0.8921630756231516,-0.8666666666666667,-0.2037037037037037,-0.1610169491525424,-0.48351648351648346,-0.3184713375796178,0.28205128205128205,53,4.7476453945203465
Chris Richards,Not Fetched,12,143,179237,Crystal Palace,0.3277310924369748,0.45423728813559316,0.3681318681318681,0.5189873417721519,-0.47846889952153104,0.36601307189542487,0.717391304347826,0.8731516687790452,-0.0,-0.18518518518518517,-0.2838983050847458,-0.42857142857142855,-0.14012738853503184,0.0,44,4.740584376404475
Valentino Livramento,Not Fetched,22,157,168149,Newcastle United,0.45378151260504207,0.38757062146892657,0.24725274725274723,0.6526019690576652,-0.3157894736842106,0.23529411764705882,0.6956521739130435,0.9019856358259399,-0.0,-0.0,-0.1016949152542373,-0.39560439560439553,-1.0,0.0,51,4.699339201931865
Noussair Mazraoui,Not Fetched,23,149,15505,Manchester United,0.49159663865546216,0.25875706214689265,0.39560439560439553,0.9887482419127989,-0.40669856459330145,0.1372549019607843,0.6521739130434783,0.9038867765103505,-0.33333333333333337,-0.09259259259259259,-0.5423728813559323,-0.5879120879120878,-0.375796178343949,0.1282051282051282,53,4.6536715127069606
Igor Julio,Not Fetched,12,209,23186,Brighton & Hove Albion,0.16806722689075632,0.4406779661016949,0.21978021978021978,0.30942334739803096,-0.42105263157894746,0.9150326797385621,0.17391304347826086,0.9777144064216305,-0.0,-0.7407407407407407,-0.38135593220338987,-0.2747252747252747,-0.0,0.0,53,4.635030939005591
Trent Alexander-Arnold,Not Fetched,21,151,4156,Liverpool,0.5252100840336135,0.19322033898305085,0.030219780219780217,0.46413502109704635,-0.1866028708133972,0.26143790849673204,0.9347826086956521,0.8175961132234895,-0.0,-0.4074074074074074,-0.19491525423728817,-0.9999999999999999,-0.47133757961783435,0.9743589743589743,59,4.594001418710538
Kenny Tete,Not Fetched,15,162,2665,Fulham,0.7773109243697479,0.2655367231638418,0.2939560439560439,0.749648382559775,-0.3110047846889953,0.28104575163398693,0.2826086956521739,0.8770595690747781,-0.0,-0.38888888888888884,-0.6949152542372882,-0.42857142857142855,-0.4522292993630573,0.358974358974359,53,4.549513970495376
Neco Williams,Not Fetched,20,211,123567,Nottingham Forest,0.546218487394958,0.4248587570621469,0.40109890109890106,0.9268635724331926,-0.18181818181818185,0.24836601307189543,0.8695652173913043,0.8523447401774397,-0.0,-0.537037037037037,-0.326271186440678,-0.5879120879120878,-0.43949044585987257,0.1794871794871795,40,4.529652992209903
Aaron Wan-Bissaka,Not Fetched,22,153,4332,West Ham United,0.6932773109243697,0.34350282485875705,0.13736263736263735,0.6736990154711674,-0.7081339712918661,0.19607843137254902,0.3913043478260869,0.8635403464300802,-0.0,-0.09259259259259259,-0.33898305084745767,-0.13736263736263735,-0.4140127388535032,0.358974358974359,47,4.487950832297137
Toti Gomes,Not Fetched,16,223,202497,Wolverhampton Wanderers,0.2689075630252101,0.5062146892655368,0.5082417582417582,0.7398030942334739,-0.6507177033492824,0.5098039215686275,0.41304347826086957,0.886670891423743,-0.46666666666666673,-0.5185185185185185,-0.33050847457627125,-0.11538461538461536,-0.3184713375796178,0.1794871794871795,47,4.41486408631
Joël Veltman,Not Fetched,17,209,2664,Brighton & Hove Albion,0.3823529411764706,0.3751412429378531,0.3406593406593406,0.8509142053445851,-0.2105263157894737,0.30065359477124187,0.6086956521739131,0.8471694127587662,-0.0,-0.4629629629629629,-0.5508474576271187,-0.7142857142857142,-0.2929936305732484,0.0,53,4.339543821772744
Pedro Porro,Not Fetched,23,92,144981,Tottenham Hotspur,0.42016806722689076,0.27570621468926554,0.0824175824175824,0.5260196905766527,-0.5933014354066986,0.3594771241830066,0.3695652173913043,0.806400506970849,-0.0,-0.16666666666666663,-0.27542372881355937,-0.5219780219780219,-0.4140127388535032,0.8461538461538461,58,4.339517478012964
Ola Aina,Not Fetched,23,211,4184,Nottingham Forest,0.5336134453781513,0.3073446327683616,0.07692307692307693,0.6272855133614627,-0.2966507177033494,0.21568627450980393,0.8478260869565217,0.8459019856358259,-0.0,-0.16666666666666663,-0.2796610169491526,-0.43956043956043955,-0.3885350318471337,0.358974358974359,40,4.266962949535994
Vitalii Mykolenko,Not Fetched,20,144,61682,Everton,0.5042016806722689,0.4203389830508475,0.40659340659340654,0.630098452883263,-0.32057416267942584,0.21568627450980393,0.7608695652173912,0.8312209547950992,-0.33333333333333337,-0.18518518518518517,-0.3686440677966102,-0.45054945054945045,-0.17197452229299362,0.0,40,4.252244556605997
Diogo Dalot,Not Fetched,22,149,39933,Manchester United,0.5504201680672269,0.2192090395480226,0.2939560439560439,0.5991561181434598,-0.4162679425837321,0.25490196078431376,0.6956521739130435,0.879594423320659,-0.33333333333333337,-0.33333333333333326,-0.597457627118644,-0.3461538461538461,-0.2484076433121019,0.1282051282051282,53,4.213531103497445
James Justin,Not Fetched,22,108,10043,Leicester City,0.5210084033613446,0.3977401129943503,0.5439560439560439,0.7735583684950773,-0.770334928229665,0.29411764705882354,0.10869565217391304,0.820975918884664,-0.0,-0.25925925925925924,-0.21186440677966104,-0.434065934065934,-0.22292993630573246,0.358974358974359,45,4.067673155442229
Pau Torres,Not Fetched,18,158,39568,Aston Villa,0.12184873949579832,0.3152542372881356,0.22252747252747251,0.42475386779184243,-0.46411483253588515,0.30065359477124187,0.2391304347826087,0.9357836924376847,-0.0,-0.11111111111111109,-0.1483050847457627,-0.1593406593406593,-0.10828025477707007,0.0,50,3.8753567647237674
Lucas Digne,Not Fetched,23,158,3087,Aston Villa,0.5042016806722689,0.34011299435028247,0.3296703296703296,0.6230661040787623,-0.42105263157894746,0.10457516339869281,0.2826086956521739,0.8829742289818333,-0.0,-0.2962962962962963,-0.39406779661016955,-0.3626373626373626,-0.38216560509554137,0.41025641025641024,50,3.7811252578497068
Jurriën Timber,Not Fetched,20,59,193484,Arsenal,0.33613445378151263,0.16045197740112993,0.14010989010989008,0.5850914205344585,-0.1866028708133972,0.15032679738562094,0.8695652173913043,0.932826362484157,-0.0,-0.5925925925925926,-0.4830508474576271,-0.25274725274725274,-0.5095541401273885,0.28205128205128205,55,3.567995572018525
Rico Lewis,Not Fetched,19,93,682300,Manchester City,0.29411764705882354,0.20225988700564973,0.0879120879120879,0.5316455696202531,-0.3827751196172249,0.16993464052287582,0.5652173913043478,0.9717997465145753,-0.0,-0.5925925925925926,-0.27118644067796616,-0.1758241758241758,-0.6114649681528662,0.48717948717948717,61,3.4439504124562923
Kieran Trippier,Not Fetched,13,157,3160,Newcastle United,0.3697478991596639,0.23954802259887006,0.43681318681318676,0.6694796061884669,-0.052631578947368446,0.11764705882352941,1.0,0.9155048584706379,-0.0,-0.33333333333333326,-0.7457627118644069,-0.9670329670329669,-0.3375796178343949,0.0,51,3.4396121172208223
Destiny Udogie,Not Fetched,18,92,682598,Tottenham Hotspur,0.44537815126050423,0.1344632768361582,0.18956043956043953,0.8973277074542897,-0.4258373205741627,0.08496732026143791,0.4782608695652174,0.9419095901985636,-0.0,-0.24074074074074073,-0.5550847457627119,-0.3461538461538461,-0.6369426751592356,0.15384615384615383,58,3.4197833619526814
Marc Cucurella,Not Fetched,21,152,39628,Chelsea,0.3487394957983193,0.2248587570621469,0.2582417582417582,0.5358649789029536,-0.34928229665071764,0.28758169934640526,0.30434782608695654,0.9459231094212082,-0.0,-0.7777777777777777,-0.4915254237288136,-0.456043956043956,-0.10828025477707007,0.41025641025641024,58,3.3842127271717133
Daniel Muñoz,Not Fetched,22,143,74909,Crystal Palace,0.5252100840336135,0.26440677966101694,0.5329670329670328,0.960618846694796,-0.368421052631579,0.06535947712418301,0.5869565217391304,0.7990071820870299,-0.0,-0.44444444444444436,-0.652542372881356,-0.6043956043956044,-0.3184713375796178,0.48717948717948717,44,3.3684059589330912
Jannik Vestergaard,Not Fetched,15,108,1212,Leicester City,0.40756302521008403,0.5751412429378531,0.48901098901098894,0.5232067510548524,-0.8373205741626794,0.4771241830065359,0.0,0.96092099704267,-0.0,-0.6851851851851851,-0.37711864406779666,-0.2637362637362637,-0.0,0.0,45,3.3586494100170823
Andrew Robertson,Not Fetched,21,151,3920,Liverpool,0.25630252100840334,0.17175141242937852,0.04945054945054944,0.29113924050632906,-0.2679425837320575,0.11764705882352941,0.9347826086956521,0.9381073088297421,-0.4,-0.4259259259259259,-0.15677966101694915,-0.3681318681318681,-0.19108280254777069,0.0,59,3.2616275692449204
Ashley Young,Not Fetched,19,144,4194,Everton,0.5420168067226891,0.3129943502824859,0.1346153846153846,0.6315049226441631,-0.3253588516746412,0.11764705882352941,0.9130434782608695,0.7856991972961553,-0.0,-0.7962962962962962,-0.6271186440677966,-0.47252747252747246,-0.07643312101910828,0.6153846153846153,40,2.977573404932203
Victor Kristansen,Not Fetched,20,108,698775,Leicester City,0.5,0.23728813559322035,0.22252747252747251,0.659634317862166,-0.6794258373205743,0.4248366013071896,0.10869565217391304,0.8585762568652302,-0.0,-0.09259259259259259,-0.25,-0.6208791208791208,-0.34394904458598724,0.1282051282051282,45,2.814683767859322
Pervis Estupiñán,Not Fetched,18,209,10813,Brighton & Hove Albion,0.5084033613445378,0.2293785310734463,0.43681318681318676,0.7679324894514767,-0.43540669856459335,0.08496732026143791,0.3695652173913043,0.9350443599493028,-0.0,-0.3518518518518518,-0.6440677966101696,-0.31318681318681313,-0.8471337579617835,0.15384615384615383,53,2.7501748021785946
Malo Gusto,Not Fetched,19,152,637914,Chelsea,0.4831932773109243,0.1943502824858757,0.09890109890109888,0.4542897327707454,-0.3397129186602871,0.28104575163398693,0.2391304347826087,0.9413814955640049,-0.0,-0.38888888888888884,-0.39406779661016955,-0.5494505494505494,-0.5477707006369427,0.1794871794871795,58,2.7200228649445486
Tyrick Mitchell,Not Fetched,23,143,626942,Crystal Palace,0.1596638655462185,0.24971751412429377,0.15384615384615385,0.6666666666666666,-0.42105263157894746,0.24836601307189543,0.5652173913043478,0.78474862695395,-0.0,-0.16666666666666663,-0.23728813559322037,-0.33516483516483514,-0.5987261146496815,0.3333333333333333,44,2.6960242834857477
Matty Cash,Not Fetched,16,158,7358,Aston Villa,0.4831932773109243,0.22598870056497175,0.25274725274725274,0.7032348804500703,-0.27751196172248804,0.30065359477124187,0.2826086956521739,0.9035699197296154,-1.0,-0.6666666666666665,-0.6186440677966102,-0.33516483516483514,-0.19745222929936304,0.358974358974359,50,2.481923052774072
Emerson Palmieri,Not Fetched,21,153,2926,West Ham United,0.40336134453781514,0.2508474576271187,0.1813186813186813,0.5907172995780591,-0.7272727272727273,0.23529411764705882,0.41304347826086957,0.8570975918884663,-0.0,-0.537037037037037,-0.43220338983050854,-0.42857142857142855,-0.22929936305732482,0.4358974358974359,47,2.2272375626137464
Vladimír Coufal,Not Fetched,14,153,84529,West Ham United,0.19747899159663865,0.31977401129943506,0.5631868131868131,0.7074542897327708,-0.645933014354067,0.6143790849673202,0.6086956521739131,0.8403041825095056,-0.0,-0.5,-1.0,-0.6923076923076922,-0.29936305732484075,0.0,47,2.2027999026572256
Mads Roerslev,Not Fetched,19,218,26535,Brentford,0.11344537815126052,0.28926553672316385,0.22527472527472522,0.5147679324894515,-0.34928229665071764,0.30065359477124187,0.2391304347826087,0.8639628221377269,-0.0,-0.2962962962962963,-0.19491525423728817,-0.8021978021978021,-0.35031847133757965,0.41025641025641024,48,2.0769943733444522
Adam Smith,Not Fetched,17,148,4110,AFC Bournemouth,0.3991596638655462,0.2745762711864407,0.18956043956043953,0.4880450070323488,-0.3397129186602871,0.11111111111111112,0.3913043478260869,0.8374524714828897,-0.0,-0.648148148148148,-0.2923728813559322,-0.478021978021978,-0.16560509554140126,0.0,46,2.022763464303342
Yukinari Sugawara,Not Fetched,20,146,148395,Southampton,0.23529411764705885,0.30621468926553674,0.04395604395604395,0.44866385372714485,-0.6937799043062202,0.3137254901960784,0.21739130434782608,0.8969159273341781,-0.5333333333333333,-0.4259259259259259,-0.33898305084745767,-0.3516483516483516,-0.1019108280254777,0.41025641025641024,52,1.974021812940316
Kyle Walker,Not Fetched,15,93,3147,Manchester City,0.11764705882352942,0.11638418079096045,0.2554945054945055,0.44585091420534456,-0.645933014354067,0.24183006535947713,0.2826086956521739,0.940325306294888,-0.0,-0.5185185185185185,-0.23728813559322037,-0.510989010989011,-0.12101910828025478,0.0,61,1.831307628696334
